鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北七路186號6樓之3,13.47,其他,,,1080123,土地1建物1車位2,六層,28,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1060321,229.5,0,0,0,無,有,有,62000,270,坡道平面,0.0,0,,RPSNMLPKKHOFFCB18CC
西屯區,房地(土地+建物)+車位,臺中市西屯區市政路500號3樓之7,12.51,其他,,,1080123,土地1建物1車位1,三層,29,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1011219,237.34,0,0,0,無,有,無,55000,232,坡道平面,0.0,0,,RPWNMLPKKHOFFCB58CC
西屯區,房地(土地+建物),臺中市西屯區台灣大道四段925號10樓之5,12.0,住,,,1080121,土地1建物1車位0,十層,28,辦公商業大樓,見其他登記事項,見其他登記事項,0810701,226.95,0,0,0,無,有,無,42000,185,,0.0,0,,RPXNMLPKKHOFFCB68CC
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北二路282號19樓之11,12.88,其他,,,1080130,土地1建物1車位2,十九層,35,辦公商業大樓,見其他登記事項,見其他登記事項,1070131,200.01,0,0,0,無,有,無,73050,365,坡道機械,0.0,6500,,RPQOMLPKKHOFFCB08CC
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北三路125號7樓,43.47,其他,,,1080115,土地1建物1車位2,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940916,408.76,3,2,3,有,無,有,85000,208,坡道平面,62.81,0,含管理費、稅金或水電等費用。；,RPWOMLPKKHOFFCB68CC
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北二路236號十四樓之6,22.24,其他,,,1080122,土地1建物1車位3,十四層,36,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1030403,459.39,0,0,0,無,有,有,102000,222,坡道平面,0.0,0,,RPRPMLPKKHOFFCB28CC
南屯區,房地(土地+建物)+車位,臺中市南屯區豐富路199號六樓之9,30.33,住,,,1080212,土地1建物1車位2,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980330,294.47,4,2,2,有,有,無,40000,136,坡道平面,0.0,0,,RPUPMLPKKHOFFCB58CC
西屯區,房地(土地+建物),臺中市西屯區福上巷319弄20號5樓,18.87,住,,,1080118,土地1建物0車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0781206,18.869999999999997,1,0,1,有,無,有,6525,346,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金7250房東租金9折6525房客租金7折5075,RPXQMLPKKHOFFCB98CC
西屯區,房地(土地+建物),臺中市西屯區逢甲路225巷46號3樓之1,9.75,住,,,1080118,土地1建物0車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880506,75.43,1,1,1,有,有,有,17100,227,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金19000房東租金9折17100房客租金7折13300,RPORMLPKKHOFFCB18CC
太平區,房地(土地+建物)+車位,臺中市太平區太平十二街21巷3號五樓,27.47,住,,,1080215,土地1建物1車位1,五層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0800130,134.68,3,2,2,有,無,無,11000,82,坡道平面,0.0,0,,RPVNMLPKKHOFFJB66DC
