編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOPMLQLLHOFFAG38CA,24,22.35,共同使用部份（防空避難室．停車場．門廳．梯間．通道．守衛室）,鋼筋混凝土造,84年5月24日,十二層,
RPOPMLQLLHOFFAG38CA,24,.85,屋頂突出物．梯間．通道．水箱．共同使用部份,鋼筋混凝土造,84年5月24日,十二層,
RPXOMLQLLHOFFAG56CA,12,.15,守衛室,鋼筋混凝土造,96年2月6日,一層,
RPOPMLQLLHOFFAG38CA,24,.85,屋頂突出物．梯間．通道．水箱．共同使用部份,鋼筋混凝土造,84年5月24日,十二層,
RPXOMLQLLHOFFAG56CA,12,20.26,通道．樓梯間,鋼筋混凝土造,96年2月6日,五層,
RPPPMLQLLHOFFAG48CA,5,138.42,住宅、停車空間,鋼筋混凝土造,103年6月9日,三層,一層 二層 三層 陽台 見其他登記事項
RPUOMLTJMHOFFAG09CA,6,114.77,農業資材室,鋼骨造,101年11月28日,一層,一層
RPQNMLKKMHOFFAG77CA,1,282.78,住家用,鋼筋混凝土ＲＣ造,106年11月24日,四層,一層 二層 三層 四層 陽台
RPQNMLMKMHOFFAG97CA,44,81.79,住家用,鋼筋混凝土加強磚造,64年2月27日,四層,三層
RPTNMLQLLHOFFAG68CA,23,125.58,鄉村住宅,鋼筋混凝土造,84年11月21日,五層,三層 四層 陽台
RPTNMLQLLHOFFAG68CA,23,35.67,私設避難室．梯間,鋼筋混凝土造,84年11月21日,五層,
RPQPMLQLLHOFFAG58CA,25,92.76,住家用,鋼筋混凝土造,83年8月2日,八層,七層 陽台
RPQPMLQLLHOFFAG58CA,25,24.48,共同使用防空避難室、停車場、梯間、走道及車道,鋼筋混凝土造,83年8月2日,八層,
RPWNMLQLLHOFFAG98CA,26,205.96,住家用,鋼筋混凝土造,82年5月20日,四層,一層 二層 三層 四層 陽台 平台 騎樓
RPTNMLPKMHOFFAG58CA,1,195.74,集合住宅,鋼筋混凝土（ＲＣ）,107年6月26日,三層,一層 二層 三層 陽台 騎樓
RPPOMLRLLHOFFAG48CA,24,82.82,住家用,鋼筋混凝土造,83年12月21日,五層,四層 陽台
RPPOMLRLLHOFFAG48CA,24,11.72,共同使用部份．梯間,鋼筋混凝土造,83年12月21日,五層,
RPXNMLMLLHOFFBG78CA,23,33.07,住家用,鋼筋混凝土造,84年12月12日,八層,四層 陽台
RPXNMLMLLHOFFBG78CA,23,10.79,共有部份,鋼筋混凝土造,84年12月12日,八層,
RPUPMLQLLHOFFBG09CA,21,91.00,住家用,鋼筋混凝土造,87年6月11日,七層,三層 陽台
RPUPMLQLLHOFFBG09CA,21,13.93,共有部份,鋼筋混凝土造,87年6月11日,七層,
RPUPMLQLLHOFFBG09CA,21,12.40,共有部份,鋼筋混凝土造,87年6月11日,七層,
RPSPMLSLLHOFFBG09CA,3,338.60,住宅、樓梯間、機械室,鋼筋混凝土造,104年9月24日,三層,一層 二層 三層 陽台 見其他登記事項
RPVNMLTLLHOFFBG66CA,2,191.81,住家用,鋼筋混凝土造,105年10月25日,三層,一層 二層 三層 陽台 屋簷 見其他登記事項
RPRNMLRLLHOFFBG68CA,5,292.72,農舍,鋼筋混凝土造,103年5月22日,三層,一層 二層 三層
RPXOMLSLLHOFFBG86CA,3,338.60,住宅、樓梯間、機械室,鋼筋混凝土造,104年9月24日,三層,一層 二層 三層 陽台 見其他登記事項
RPWOMLSLLHOFFBG76CA,3,260.97,住宅、樓梯間、機械室,鋼筋混凝土造,104年9月24日,三層,一層 二層 三層 陽台 見其他登記事項
RPQNMLTLLHOFFBG78CA,24,20.12,共有部份,鋼筋混凝土造,83年12月12日,十四層,
RPQNMLTLLHOFFBG78CA,24,38.52,住家用,鋼筋混凝土造,83年12月12日,十四層,四層 陽台
RPOOMLRLLHOFFBG48CA,25,83.91,住家用,鋼筋混凝土造,83年1月12日,七層,六層
RPOOMLRLLHOFFBG48CA,25,18.61,共有部份,鋼筋混凝土造,83年1月12日,七層,
RPOOMLRLLHOFFBG48CA,25,15.45,共有部份,鋼筋混凝土造,83年1月12日,七層,
RPUOMLQLLHOFFBG98CA,,322.73,住宅、停車空間、樓梯間,鋼筋混凝土造,107年11月23日,四層,二層 三層 四層 陽台 見其他登記事項
RPRNMLRLLHOFFAG58CA,24,51.47,住家用,鋼筋混凝土造,84年8月14日,七層,六層 陽台
RPRNMLRLLHOFFAG58CA,24,18.58,共同使用部份台電受電室、發電機房、蓄水池通道、梯間,鋼筋混凝土造,84年8月14日,七層,
RPRNMLRLLHOFFAG58CA,24,17.29,共有部份,鋼筋混凝土造,84年8月14日,七層,
RPXNMLRLLHOFFAG56CA,12,96.20,住家用,鋼筋混凝土造,96年7月5日,十四層,四層 陽台
RPXNMLRLLHOFFAG56CA,12,5.56,社區活動室,鋼筋混凝土造,96年7月5日,十四層,一層 二層 陽台 騎樓 夾層
RPXNMLRLLHOFFAG56CA,12,.83,梯間．通道．水箱．機械室,鋼筋混凝土造,96年7月5日,十四層,
RPXNMLRLLHOFFAG56CA,12,1.48,防空避難室．停車空間．社區活動室,鋼筋混凝土造,96年7月5日,十四層,
RPXNMLRLLHOFFAG56CA,12,13.17,梯間．通道．水箱．機械室,鋼筋混凝土造,96年7月5日,十四層,
RPXNMLRLLHOFFAG56CA,12,38.74,防空避難室．停車空間．社區活動室,鋼筋混凝土造,96年7月5日,十四層,
RPQNMLQLLHOFFAG38CA,1,195.91,住宅、私設騎樓,鋼筋混凝土（ＲＣ）,107年3月6日,三層,一層 二層 三層 陽台
RPXNMLLLLHOFFAG58CA,1,75.37,集合住宅,鋼筋混凝土造,107年7月25日,四層,二層 陽台 雨遮
RPXNMLLLLHOFFAG58CA,1,22.32,本件共有部份之項目：停車空間、樓梯間、水箱、雨遮等４項。,鋼筋混凝土造,107年7月25日,四層,
RPRNMLMKMHOFFAG08CA,31,178.16,住家用,鋼筋混凝土造,77年7月7日,三層,一層 二層 三層 屋頂突出物 騎樓
RPVNMLMLLHOFFAG48CA,1,46.89,集合住宅,鋼筋混凝土造,106年11月24日,四層,一層 陽台 雨遮
RPVNMLMLLHOFFAG48CA,1,10.73,本共有部分之項目有樓梯間、電梯機房等２項,鋼筋混凝土造,106年11月24日,四層,
RPVNMLMLLHOFFAG48CA,1,14.66,本共有部分之項目有停車空間、機房〈提供臺電配電場所〉、機房〈消防泵浦室〉、樓梯間、電梯機房等５項,鋼筋混凝土造,106年11月24日,四層,
RPWPMLQLLHOFFBG66CA,11,237.23,見其他登記事項,鋼筋混凝土造,97年2月5日,四層,一層 二層 三層 四層 地下一層
RPWPMLQLLHOFFBG66CA,11,29.66,共有部份,鋼筋混凝土造,97年2月5日,四層,
RPVPMLQLLHOFFBG56CA,9,43.15,辦公室,鋼筋混凝土造,99年4月29日,九層,六層 陽台
RPVPMLQLLHOFFBG56CA,9,29.73,本共有部分之項目有電梯間、水箱、機房、防空避難室兼停車空間、走道、陽台、裝飾牆、管理委員會使用空間、停車空間等九項,鋼筋混凝土造,99年4月29日,九層,
RPWNMLMJMHOFFAG48CA,27,23.85,住家用,鋼筋混凝土加強磚造,81年6月18日,一層,一層
RPQOMLQLLHOFFAG48CA,1,170.19,住家用,鋼筋混凝土造,107年2月7日,三層,一層 二層 三層 陽台
RPUOMLMJMHOFFBG48CA,30,118.56,住家用,鋼筋混凝土加強磚造,78年1月26日,二層,一層 二層 見其他登記事項
RPWOMLMJMHOFFBG68CA,30,118.56,住家用,鋼筋混凝土加強磚造,78年1月26日,二層,一層 二層 見其他登記事項
RPUOMLSLLHOFFBG56CA,23,72.91,住家用,鋼筋混凝土造,85年4月16日,四層,二層 陽台
RPUOMLSLLHOFFBG56CA,23,9.82,共有部份,鋼筋混凝土造,85年4月16日,四層,
RPWNMLQLLHOFFBG09CA,2,81.95,集合住宅,鋼筋混凝土造,105年11月8日,十三層,五層 陽台
RPWNMLQLLHOFFBG09CA,2,61.50,本共有部分之項目有：停車空間、頂蓋型廣場式開放空間、公共服務空間、ＫＴＶ室、棋牌室、樓梯間、水錶區、水箱,鋼筋混凝土造,105年11月8日,十三層,
RPPNMLQLLHOFFBG38CA,41,84.42,住家用,鋼筋混凝土加強磚造,67年6月24日,二層,一層 二層
RPPPMLMLLHOFFBG18CA,18,234.69,住家用,鋼筋混凝土造,89年9月21日,四層,一層 二層 三層 四層 陽台
RPQOMLMLLHOFFBG18CA,25,82.76,辦公室﹒住宅,鋼筋混凝土造,83年4月14日,十二層,七層 陽台
RPQOMLMLLHOFFBG18CA,25,17.50,共有部份,鋼筋混凝土造,83年4月14日,十二層,
RPVOMLQLLHOFFBG09CA,7,38.89,集合住宅,鋼筋混凝土造,101年7月17日,五層,四層 陽台
RPVOMLQLLHOFFBG09CA,7,4.83,共有部分,鋼筋混凝土造,101年7月17日,五層,
RPVOMLQLLHOFFBG09CA,7,18.46,共有部分,鋼筋混凝土造,101年7月17日,五層,
RPTOMLMLLHOFFBG68EA,36,94.44,住家用,鋼筋混凝土加強磚造,71年8月11日,二層,一層 二層
RPSNMLSKMHOFFBG88CA,24,42.40,共有部份,鋼筋混凝土造,83年12月17日,八層,
RPSNMLSKMHOFFBG88CA,24,77.53,住家用,鋼筋混凝土造,83年12月17日,八層,七層 陽台
RPUNMLSKMHOFFAG56EA,1,288.27,住家用,鋼筋混凝土造,107年3月14日,四層,一層 二層 三層 四層 陽台
RPTNMLRLLHOFFAG78CA,24,35.44,住家用,鋼筋混凝土造,84年5月24日,十二層,七層 陽台
RPTNMLRLLHOFFAG78CA,24,9.01,共同使用部份（防空避難室．停車場．門廳．梯間．通道．守衛室）,鋼筋混凝土造,84年5月24日,十二層,
RPTNMLRLLHOFFAG78CA,24,.34,屋頂突出物．梯間．通道．水箱．共同使用部份,鋼筋混凝土造,84年5月24日,十二層,
RPTNMLRLLHOFFAG78CA,24,.34,屋頂突出物．梯間．通道．水箱．共同使用部份,鋼筋混凝土造,84年5月24日,十二層,
RPTNMLRLLHOFFAG78CA,24,6.73,共同使用部份（通道．梯間）,鋼筋混凝土造,84年5月24日,十二層,
RPQNMLSKNHOFFBG78CA,3,271.18,騎樓、住宅、樓梯間,鋼筋混凝土造,104年12月8日,三層,一層 二層 三層 陽台 騎樓 見其他登記事項
RPPOMLRLLHOFFBG58CA,26,39.09,住家用,鋼筋混凝土造,82年8月9日,七層,六層 陽台
RPPOMLRLLHOFFBG58CA,26,17.25,共有部份,鋼筋混凝土造,82年8月9日,七層,
RPXNMLSLLHOFFBG76CA,24,57.16,住家用,鋼筋混凝土造,83年7月30日,七層,五層 陽台
RPXNMLSLLHOFFBG76CA,24,17.71,共有部份,鋼筋混凝土造,83年7月30日,七層,
RPOOMLSLLHOFFBG58CA,12,39.83,住家用,鋼筋混凝土造,95年9月21日,十四層,十二層 陽台
RPOOMLSLLHOFFBG58CA,12,14.85,共有部份,鋼筋混凝土造,95年9月21日,十四層,
RPOOMLSLLHOFFBG58CA,12,7.24,共有部份,鋼筋混凝土造,95年9月21日,十四層,
