鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮廉使路４４９號,83.67,,鄉村區,乙種建築用地,1080130,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0731017,99.33,6,2,2,有,無,3800000,38256,,0.0,0,,RPRNMLMKLHOFFDP56CA,92.25,0.0,7.08,,
土庫鎮,房地(土地+建物),雲林縣土庫鎮溪心２之２７號,98.52,,特定農業區,甲種建築用地,1071230,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1071023,176.42,5,2,4,有,無,6280000,35597,,0.0,0,,RPQOMLTKLHOFFDP27CA,165.97,10.45,0.0,,
土庫鎮,房地(土地+建物),雲林縣土庫鎮溪心２之２５號,98.52,,特定農業區,甲種建築用地,1071230,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1071023,176.42,5,2,4,有,無,6680000,37864,,0.0,0,,RPROMLTKLHOFFDP37CA,165.97,10.45,0.0,,
土庫鎮,房地(土地+建物),雲林縣土庫鎮溪心２之２３號,98.52,,特定農業區,甲種建築用地,1071230,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1071023,176.42,5,2,4,有,無,6280000,35597,,0.0,0,,RPSOMLTKLHOFFDP47CA,165.97,10.45,0.0,,
土庫鎮,房地(土地+建物),雲林縣土庫鎮溪心２之２１號,98.52,,特定農業區,甲種建築用地,1071230,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1071023,176.42,5,2,4,有,無,6680000,37864,,0.0,0,,RPTOMLTKLHOFFDP57CA,165.97,10.45,0.0,,
土庫鎮,房地(土地+建物),雲林縣土庫鎮溪心２之１７號,98.52,,特定農業區,甲種建築用地,1071230,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1071023,176.42,5,2,4,有,無,6680000,37864,,0.0,0,,RPUOMLTKLHOFFDP67CA,165.97,10.45,0.0,,
虎尾鎮,土地,內安段798地號,236.7,,鄉村區,乙種建築用地,1080217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3222000,13612,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPVNMLPJLHOFFDP17CA,0.0,0.0,0.0,,
斗南鎮,建物,雲林縣斗南鎮光復街36號二樓之83，三樓之83,0.0,,,,1080128,土地0建物2車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880412,138.07,3,2,2,有,有,1300000,9416,,0.0,0,,RPPNMLPLLHOFFBP66DA,88.08,0.0,0.0,,
西螺鎮,土地,漢北段44-3地號,351.26,農,,,1080212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1053780,3000,,0.0,0,,RPUNMLRJLHOFFCP27DA,0.0,0.0,0.0,,
北港鎮,土地,新北段854地號,193.06,住,,,1080215,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5257000,27230,,0.0,0,,RPQNMLPJLHOFFEP86DA,0.0,0.0,0.0,,
