鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
屏東市,房地(土地+建物)+車位,屏東縣屏東市瑞光里和生路一段82號九樓,14.22,住,,,1080218,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0900118,139.05,3,2,2,有,有,3500000,25171,坡道平面,0.0,0,,RPOOMLMLMHOFFAT66CA,77.74,0.98,13.52,,
東港鎮,土地,東港段660-101地號,258.0,住,,,1080305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4682700,18150,,0.0,0,畸零地或有合併使用之交易。；,RPROMLRLLHOFFDT67CA,0.0,0.0,0.0,,
新園鄉,土地,中興段637地號,10.5,住,,,1080312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,14286,,0.0,0,畸零地或有合併使用之交易。；,RPSOMLRLLHOFFDT77CA,0.0,0.0,0.0,,
新園鄉,土地,新南段857-3地號,334.74,,鄉村區,乙種建築用地,1080216,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2808969,8391,,0.0,0,,RPWNMLRLLHOFFDT08CA,0.0,0.0,0.0,,
新園鄉,土地,新南段857-3地號,594.47,,鄉村區,乙種建築用地,1080216,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5296914,8910,,0.0,0,,RPXNMLRLLHOFFDT18CA,0.0,0.0,0.0,,
琉球鄉,土地,大寮段363地號,81.18,住,,,1080225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1060000,13057,,0.0,0,,RPRNMLRLLHOFFDT57CA,0.0,0.0,0.0,,
琉球鄉,土地,大寮段363地號,81.18,住,,,1080312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1060000,13057,,0.0,0,,RPSNMLRLLHOFFDT67CA,0.0,0.0,0.0,,
東港鎮,房地(土地+建物),屏東縣東港鎮東隆街４７之１號,55.0,住,,,1080103,土地1建物1車位0,一層，二層，三層，騎樓,三層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0651207,101.79,4,2,3,有,無,6800000,66804,,0.0,0,,RPTNMLRLLHOFFDT77CA,101.79,0.0,0.0,,
崁頂鄉,土地,越溪段18-8地號,706.24,,鄉村區,乙種建築用地,1080217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4272500,6050,,0.0,0,,RPQNMLTLLHOFFDT67CA,0.0,0.0,0.0,,
崁頂鄉,土地,越溪段18-7地號,706.02,,鄉村區,乙種建築用地,1080217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4272500,6052,,0.0,0,,RPRNMLTLLHOFFDT77CA,0.0,0.0,0.0,,
新園鄉,土地,南龍段809地號,226.9,住,,,1080223,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3100000,13662,,0.0,0,,RPSNMLSLLHOFFDT77CA,0.0,0.0,0.0,,
恆春鎮,土地,頂水泉段675地號,184.04,,國家公園區,,1080308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,1630,,0.0,0,,RPPNMLSLLHOFFET57CA,0.0,0.0,0.0,,
恆春鎮,房地(土地+建物),屏東縣恆春鎮恒南路125巷30弄15號,72.2,住,,,1080209,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0830405,182.07,5,2,4,有,無,8300000,45587,,0.0,0,,RPQNMLSLLHOFFET67CA,182.07,0.0,0.0,,
恆春鎮,土地,大潭段278地號,11.06,住,,,1071219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,167282,15125,,0.0,0,畸零地或有合併使用之交易。；,RPPNMLMJMHOFFET86CA,0.0,0.0,0.0,,
