編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLOKLHOFFAX17CA,4,226.08,住家用,鋼筋混凝土造,104年6月24日,三層,一層 二層 三層 見其他登記事項
RPQNMLNKLHOFFAX07CA,23,134.06,住家用,鋼筋混凝土加強磚造,84年6月28日,二層,一層 二層 電梯樓梯間 見其他登記事項
RPPNMLSKLHOFFAX47CA,22,53.15,住家用,鋼筋混凝土造,85年8月28日,十二層,四層 見其他登記事項
RPPNMLSKLHOFFAX47CA,22,16.18,電樓梯間、避難室、停車場、門廳,鋼筋混凝土造,85年8月28日,十二層,
RPRNMLSKLHOFFAX67CA,94,3.92,住家用,造,14年1月1日,一層,一層 見其他登記事項
RPQNMLMLLHOFFAX17DA,35,108.28,集合住宅,鋼筋混凝土造,73年6月29日,五層,五層 電梯樓梯間
RPUNMLLLLHOFFAX37CA,48,71.00,住家用,鋼筋加強,60年2月18日,一層,一層
RPQNMLQLLHOFFAX57DA,,246.86,住家用,鋼筋混凝土造,108年1月18日,三層,一層 二層 三層 見其他登記事項
RPPNMLSJMHOFFAX47CA,,101.91,住家用,造,,一層,一層
RPTNMLRLLHOFFAX97DA,7,292.85,住家用,鋼筋混凝土造,100年12月16日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPPNMLSLLHOFFAX57CA,25,110.51,住家用,鋼筋混凝土造,82年11月19日,七層,二層 見其他登記事項
RPPNMLSLLHOFFAX57CA,25,19.98,避難室、停車空間,鋼筋混凝土造,82年11月19日,七層,
RPPNMLSLLHOFFAX57CA,25,19.91,電梯間,鋼筋混凝土造,82年11月19日,七層,
RPSNMLRLLHOFFAX77CA,13,211.41,住家用,鋼筋混凝土造,95年9月14日,三層,一層 二層 三層 陽台 見其他登記事項
RPVNMLRLLHOFFAX08CA,33,208.07,住家用,鋼筋混凝土加強磚造,74年10月23日,四層,一層 二層 三層 四層
RPPNMLRLLHOFFAX47CA,13,199.96,住家用,鋼筋混凝土造,95年5月17日,五層,一層 二層 三層 四層 五層 陽台 水箱 花台
RPPNMLPLLHOFFAX27CA,40,79.56,住家用,鋼筋混凝土加強磚造,67年11月22日,二層,一層 二層 電梯樓梯間
RPRNMLLJMHOFFAX96CA,1,372.55,住家用,鋼筋混凝土造,107年8月27日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPVNMLRJNHOFFAX08CA,22,17.10,住家用,鋼筋混凝土造,86年4月30日,七層,
RPVNMLRJNHOFFAX08CA,22,102.28,住家用,鋼筋混凝土造,86年4月30日,七層,七層 陽台
RPPNMLRJNHOFFAX67EA,24,132.02,住家用,鋼筋混凝土造,84年4月26日,七層,二層 見其他登記事項
RPPNMLRJNHOFFAX67EA,24,38.48,電樓梯間、地下室,鋼筋混凝土造,84年4月26日,七層,
RPPNMLMJMHOFFAX86CA,39,187.58,住商用,鋼筋混凝土造,68年12月20日,三層,一層 二層 三層 電梯樓梯間 地下層
RPRNMLNJMHOFFAX17CA,2,23.19,共同使用,鋼筋混凝土造,106年3月28日,十層,
RPQNMLLLOHOFFAX27CA,24,113.63,住家用,鋼筋混凝土造,83年10月13日,五層,三層 見其他登記事項
RPQNMLLLOHOFFAX27CA,24,23.46,電梯間及停車空間,鋼筋混凝土造,83年10月13日,五層,
RPQNMLNJMHOFFAX07CA,53,125.46,住家用,石造,54年11月1日,一層,一層
RPSNMLRJNHOFFAX77CA,2,66.13,集合住宅,鋼筋混凝土造,106年3月28日,十層,七層 見其他登記事項
RPSNMLRJNHOFFAX77CA,2,275.50,共同使用,鋼筋混凝土造,106年3月28日,十層,
RPPNMLKMNHOFFAX07CA,82,151.87,住家用,造,26年1月1日,一層,一層
RPPNMLPJNHOFFAX27CA,48,222.00,住家用,鋼筋混凝土加強磚造,60年1月1日,三層,一層 二層 三層 電梯樓梯間
