鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
永和區,建物,新北市永和區永和路二段166號18樓之13,0.0,,,,1080124,土地0建物1車位0,十八層,19,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1000422,52.849999999999994,0,0,0,無,有,有,25500,482,,0.0,0,,RPQOMLMKKHOFFHF68CC
三重區,建物,新北市三重區中興北街２０１號七樓,0.0,工,,,1080127,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0830216,98.5,2,1,1,有,有,無,16500,168,,0.0,0,,RPPNMLMKKHOFFGF38CC
新莊區,房地(土地+建物),新北市新莊區新泰路150巷8弄5號,82.57,住,,,1071218,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,,117.92,3,2,2,有,無,無,20000,170,,0.0,0,,RPWNMLMKKHOFFBF58CC
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段79號,101.01,住,,,1080101,土地1建物2車位2,見其他登記事項,26,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061012,759.4100000000001,0,0,0,無,有,無,260000,342,坡道平面,42.44,0,,RPSSMLMKKHOFFBF68CC
林口區,房地(土地+建物)+車位,新北市林口區南勢二街362號5樓之1,32.12,住,,,1080201,土地1建物1車位1,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971212,141.68,2,1,1,有,有,有,22000,155,坡道平面,0.0,0,含管理費,RPQPMLNKKHOFFBF28CC
五股區,建物,新北市五股區五福路22巷19號四樓,0.0,住,,,1080131,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691202,91.45,2,1,1,有,無,有,15000,164,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為16667，因為新北市計劃租金上限為18000，選擇代租方案須打九折，實際租賃契約金額為15000。,RPTQMLNKKHOFFBF68CC
林口區,房地(土地+建物),新北市林口區文化二路二段88巷27號,24.92,住,,,1080201,土地1建物1車位0,一層,14,店面(店鋪),商業用,鋼筋混凝土造,0971013,160.07,0,0,0,無,有,有,45000,281,,0.0,0,含管理費,RPSSMLNKKHOFFBF78CC
泰山區,房地(土地+建物)+車位,新北市泰山區信華一街31號2樓,16.12,住,,,1071227,土地1建物1車位1,二層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030415,199.44,3,2,2,有,有,有,36000,181,坡道平面,31.38,0,含管理費、稅金或水電等費用。；租金含管理費,RPUSMLNKKHOFFBF98CC
新莊區,建物,新北市新莊區建安街92巷21號5樓,0.0,住,,,1080130,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810826,90.0,3,2,1,有,有,有,16200,180,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為18000，因為新北市計劃租金上限為18000，選擇代租方案須打九折，實際租賃契約金額為16200。,RPVTMLNKKHOFFBF56CC
林口區,建物,新北市林口區民有街５６號七樓之二,0.0,商,,,1080121,土地0建物1車位0,七層,21,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1061122,58.75,1,1,1,有,有,有,15000,255,,0.0,0,,RPXTMLNKKHOFFBF76CC
