編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLSKKHOFFAO76CA,3,57.23,共有部分,鋼筋混凝土造,104年7月20日,十三層,
RPVNMLMLKHOFFAO56CA,4,52.59,辦公室,鋼筋混凝土造,103年7月8日,九層,二層 陽台 雨遮 見其他登記事項
RPVNMLMLKHOFFAO56CA,4,14.39,共有部分,鋼筋混凝土造,103年7月8日,九層,
RPVNMLMLKHOFFAO56CA,4,29.74,共有部分,鋼筋混凝土造,103年7月8日,九層,
RPROMLPJLHOFFAO66EA,36,288.62,住商用,鋼筋混凝土造,72年1月11日,四層,一層 二層 三層 四層 地下層
RPRNMLMLKHOFFAO78CA,7,58.51,集合住宅,鋼筋混凝土造,100年10月15日,六層,六層 陽台 雨遮 見其他登記事項
RPRNMLMLKHOFFAO78CA,7,39.88,共有部分,鋼筋混凝土造,100年10月15日,六層,
RPXNMLSKKHOFFAO27CA,24,34.13,商業用,鋼筋混凝土造,84年1月24日,十四層,四層 陽台
RPXNMLSKKHOFFAO27CA,24,12.08,共有部分,鋼筋混凝土造,84年1月24日,十四層,
RPPNMLLLKHOFFAO48CA,22,20.40,住家用,鋼筋混凝土造,86年7月7日,五層,四層 陽台
RPPNMLLLKHOFFAO48CA,22,8.33,共有部分,鋼筋混凝土造,86年7月7日,五層,
RPPNMLLLKHOFFAO48CA,22,.50,住家用,鋼筋混凝土造,86年7月7日,四層,一層
RPPNMLLLKHOFFAO48CA,22,.50,住家用,鋼筋混凝土造,86年7月7日,四層,三層
RPRNMLLLKHOFFAO68CA,8,287.57,住宅、停車空間,鋼筋混凝土造,99年8月31日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮 地下一層
RPWPMLMLKHOFFAO86CA,48,123.84,住商用,鋼筋混凝土造,59年10月16日,四層,一層 二層 三層 四層 騎樓
RPOPMLSKKHOFFAO56CA,25,137.34,住家用,鋼筋混凝土造,83年3月1日,二十二層,二十一層 陽台
RPOPMLSKKHOFFAO56CA,,9.16,共有部分,鋼筋混凝土造,,二十二層,
RPOPMLSKKHOFFAO56CA,25,7.67,共有部分,鋼筋混凝土造,83年3月1日,二十二層,
RPTOMLPKKHOFFAO66CA,7,128.29,集合住宅,鋼筋混凝土結構造,100年7月13日,十四層,十三層 陽台
RPTOMLPKKHOFFAO66CA,7,87.21,共有部分,鋼筋混凝土結構造,100年7月13日,十四層,
RPSQMLMLKHOFFAO56CA,21,100.62,集合住宅,鋼筋混凝土造,86年11月11日,十五層,二層 陽台 花台
RPSQMLMLKHOFFAO56CA,21,35.15,共有部分,鋼筋混凝土造,86年11月11日,十五層,
RPSQMLMLKHOFFAO56CA,21,15.90,共有部分,鋼筋混凝土造,86年11月11日,十五層,
RPWPMLPLKHOFFAO17CA,3,453.24,停車空間、一般事務所、日常用品零售市場、樓梯間,鋼筋混凝土造,105年5月18日,五層,一層 二層 三層 四層 五層 陽台 見其他登記事項
RPPNMLKKLHOFFAO38CA,11,257.40,店舖、住宅、樓梯間,鋼筋混凝土造,97年3月27日,三層,一層 二層 三層 陽台 雨遮 見其他登記事項
RPSNMLTJLHOFFAO86CA,21,91.78,住家用,鋼筋混凝土造,87年6月15日,十層,六層 陽台
RPSNMLTJLHOFFAO86CA,21,46.74,共有部分,鋼筋混凝土造,87年6月15日,十層,
RPSNMLTJLHOFFAO86CA,21,19.56,共有部分,鋼筋混凝土造,87年6月15日,十層,
RPRNMLTJLHOFFAO76CA,,86.05,住家用,加強磚造,,二層,一層 二層
RPOOMLMJLHOFFAO48CA,28,109.09,住家用,鋼筋混凝土造,80年5月10日,五層,五層 陽台
RPOOMLMJLHOFFAO48CA,28,8.06,共有部分,鋼筋混凝土造,80年5月10日,五層,
RPOOMLMJLHOFFAO48CA,28,42.30,住家用,鋼筋混凝土造,80年5月10日,五層,地下層
RPQOMLTKKHOFFAO76CA,8,99.51,集合住宅,鋼筋混凝土造,99年8月20日,十一層,八層 陽台 雨遮
RPQOMLTKKHOFFAO76CA,8,42.52,共有部分,鋼筋混凝土造,99年8月20日,十一層,
RPQOMLTKKHOFFAO76CA,8,16.25,共有部分,鋼筋混凝土造,99年8月20日,十一層,
RPTNMLTJLHOFFAO96CA,21,242.58,住宅、儲藏室,鋼筋混凝土造,87年3月21日,三層,一層 二層 三層 陽台 平台 地下一層
RPPQMLMLKHOFFAO88CA,11,155.12,集合住宅,鋼筋混凝土造,97年4月10日,四層,一層 二層 三層 四層 陽台 雨遮
RPPOMLNLKHOFFAO78CA,10,84.32,集合住宅,鋼筋混凝土造,98年6月17日,十四層,十三層 陽台 雨遮
RPPOMLNLKHOFFAO78CA,10,84.25,防空避難室兼停車空間、梯間、消防浦泵室、汙水機房、蓄水池、發電機房、台電受電室、電信室、開放空間、公共服務空間、管理空間、垃圾處理室,鋼筋混凝土造,98年6月17日,,
RPPOMLNLKHOFFAO78CA,10,18.18,梯間、機房、水箱,鋼筋混凝土造,98年6月17日,十四層,
RPSOMLSKKHOFFAO86CA,,290.35,停車空間、住宅、樓梯間,鋼筋混凝土造,107年7月17日,四層,一層 二層 三層 四層 陽台 屋簷 見其他登記事項
RPSNMLQKKHOFFAO56CA,1,29.35,共有部分,鋼筋混凝土造,106年12月15日,八層,
RPSNMLQKKHOFFAO56CA,1,58.32,集合住宅,鋼筋混凝土造,106年12月15日,八層,六層 陽台 雨遮
RPSOMLTKKHOFFAO96CA,2,69.10,集合住宅,鋼筋混凝土造,105年9月30日,十四層,五層 陽台 雨遮
RPSOMLTKKHOFFAO96CA,2,13.18,共有部分,鋼筋混凝土造,105年9月30日,十四層,
RPSOMLTKKHOFFAO96CA,2,47.44,共有部分,鋼筋混凝土造,105年9月30日,十四層,
RPXPMLNKLHOFFAO07CA,12,387.15,住家用,鋼筋混凝土造,95年12月20日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPXPMLNKLHOFFAO07CA,12,4.78,社區管理中心,鋼筋混凝土造,95年12月20日,四層,
RPTOMLTKKHOFFAO07CA,2,69.16,集合住宅,鋼筋混凝土造,105年9月30日,十三層,八層 陽台 雨遮
RPTOMLTKKHOFFAO07CA,2,13.61,共有部分,鋼筋混凝土造,105年9月30日,十三層,
RPTOMLTKKHOFFAO07CA,2,18.93,共有部分,鋼筋混凝土造,105年9月30日,十四層,
RPXPMLKLKHOFFAO76CA,12,206.41,停車空間、集合住宅、樓梯間,鋼筋混凝土造,95年10月31日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPROMLLLKHOFFAO78CA,25,77.10,住家用,鋼筋混凝土造,82年10月6日,七層,五層 陽台
RPROMLLLKHOFFAO78CA,25,36.78,共有部分,鋼筋混凝土造,82年10月6日,七層,
RPVOMLQJLHOFFAO96CA,,375.19,停車空間、住宅,鋼筋混凝土造,107年10月8日,四層,一層 二層 三層 四層 陽台
RPQNMLMJLHOFFAO58CA,23,74.30,住家用,鋼筋混凝土造,84年8月30日,七層,三層 陽台 花台 見使用執照
RPQNMLMJLHOFFAO58CA,23,23.29,共有部分,鋼筋混凝土造,84年8月30日,七層,
RPPNMLMJLHOFFAO48CA,3,70.48,集合住宅,鋼筋混凝土造,104年12月8日,二十七層,七層 陽台
RPPNMLMJLHOFFAO48CA,3,48.88,共有部分,鋼筋混凝土造,104年12月8日,二十七層,
RPPNMLMJLHOFFAO48CA,3,17.36,共有部分,鋼筋混凝土造,104年12月8日,二十七層,
RPSOMLLLKHOFFAO88CA,19,175.98,停車空間、住宅,鋼筋混凝土造,89年3月1日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮
RPUOMLLLKHOFFAO09CA,23,94.22,住家用,鋼筋混凝土造,84年9月25日,十三層,五層 陽台
RPUOMLLLKHOFFAO09CA,23,9.09,共有部分,鋼筋混凝土造,84年9月25日,十三層,
RPUOMLLLKHOFFAO09CA,23,9.36,共有部分,鋼筋混凝土造,84年9月25日,十三層,
RPPNMLRLKHOFFAO09CA,7,.02,守衛室,鋼筋混凝土造,100年7月18日,十四層,一層
