鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
東引鄉,土地,東引西段451-1地號,18.79,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,41338,2200,,0.0,0,向政府機關承購之案件。；,RPSNMLTKLHOFFAZ18DA,0.0,0.0,0.0,,
東引鄉,土地,東引西段457-1地號,20.18,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,44396,2200,,0.0,0,向政府機關承購之案件。；,RPTNMLTKLHOFFAZ28DA,0.0,0.0,0.0,,
東引鄉,土地,東引西段448-1地號,17.75,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39050,2200,,0.0,0,向政府機關承購之案件。；,RPUNMLTKLHOFFAZ38DA,0.0,0.0,0.0,,
東引鄉,土地,東引西段450-1地號,18.02,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39644,2200,,0.0,0,向政府機關承購之案件。；,RPVNMLTKLHOFFAZ48DA,0.0,0.0,0.0,,
東引鄉,土地,東引西段458-1地號,35.85,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,78870,2200,,0.0,0,向政府機關承購之案件。；,RPWNMLTKLHOFFAZ58DA,0.0,0.0,0.0,,
東引鄉,土地,東引西段455地號,34.34,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,75537,2200,,0.0,0,向政府機關承購之案件。；,RPOOMLTKLHOFFAZ87DA,0.0,0.0,0.0,,
東引鄉,土地,東引西段454-1地號,19.52,商,,,1080214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42944,2200,,0.0,0,向政府機關承購之案件。；,RPPOMLTKLHOFFAZ97DA,0.0,0.0,0.0,,
南竿鄉,土地,津沙段422地號,35.71,住,,,1080319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,146411,4100,,0.0,0,,RPPNMLKMMHOFFAZ27DA,0.0,0.0,0.0,,
北竿鄉,土地,塘岐段719-2地號,81.94,商,,,1080315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,245820,3000,,0.0,0,,RPPNMLRLLHOFFAZ77DA,0.0,0.0,0.0,,
南竿鄉,土地,珠螺段299-1地號,7.41,住,,,1080329,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32604,4400,,0.0,0,,RPPNMLLKMHOFFAZ17DA,0.0,0.0,0.0,,
北竿鄉,土地,后沃段441地號,73.13,住,,,1080401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,8205,,0.0,0,,RPPNMLKLNHOFFAZ27DA,0.0,0.0,0.0,,
南竿鄉,土地,清水段398地號,9.1,住,,,1080308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,60440,,0.0,0,,RPPNMLKKNHOFFAZ17DA,0.0,0.0,0.0,,
南竿鄉,土地,珠螺段76地號,22.48,住,,,1080415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,98912,4400,,0.0,0,,RPQNMLOKNHOFFAZ67DA,0.0,0.0,0.0,,
南竿鄉,土地,珠螺段3-2地號,59.71,住,,,1080415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,262724,4400,,0.0,0,,RPRNMLOKNHOFFAZ77DA,0.0,0.0,0.0,,
南竿鄉,土地,福沃段514地號,3.99,其他,,,1080508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3455,866,,0.0,0,,RPPNMLOKNHOFFAZ57DA,0.0,0.0,0.0,,
