編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLTLLHOFFBD88CA,37,.00,共有部分,鋼筋混凝土造,70年9月7日,四層,
RPUNMLTLLHOFFBD88CA,37,.05,集合住宅,鋼筋混凝土造,70年9月7日,四層,
RPUNMLTLLHOFFBD88CA,37,.00,共有部分,鋼筋混凝土造,70年9月7日,四層,
RPUNMLTLLHOFFBD88CA,37,.05,集合住宅,鋼筋混凝土造,70年9月7日,四層,
RPUNMLTLLHOFFBD88CA,37,.00,共有部分,鋼筋混凝土造,70年9月7日,四層,
RPUNMLTLLHOFFBD88CA,37,.00,共有部分,鋼筋混凝土造,70年9月7日,四層,
RPUNMLTLLHOFFBD88CA,37,8.08,共有部分,鋼筋混凝土造,70年9月7日,四層,
RPUNMLTLLHOFFBD88CA,37,3.07,避難室,鋼筋混凝土造,70年9月7日,四層,
RPPNMLQLLHOFFGD58CA,24,141.00,農舍,鋼筋混凝土造,84年5月9日,三層,一層 二層 三層 陽台
RPTOMLLLLHOFFHD68CA,24,88.54,住家用,鋼筋混凝土造,84年7月27日,十一層,十層 陽台
RPTOMLLLLHOFFHD68CA,24,16.41,防災管制中心．車道．梯間．騎樓．玄關．坡道,鋼筋混凝土造,84年7月27日,十一層,
RPTOMLLLLHOFFHD68CA,24,19.78,防空避難室，停車空間,鋼筋混凝土造,84年7月27日,十一層,
RPQNMLOLLHOFFHD58CA,,230.98,住家用,鋼筋混凝土造,107年12月11日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPQNMLMLLHOFFHD38CA,25,167.75,住家用,鋼筋混凝土造,82年10月20日,四層,一層 二層 三層 四層 陽台
RPRNMLOLLHOFFHD68CA,,193.93,住家用,鋼筋混凝土造,107年12月11日,三層,一層 二層 三層 陽台 屋頂突出物 見其他登記事項
RPRNMLMLLHOFFHD48CA,22,44.74,住家用,鋼筋混凝土造,86年8月25日,七層,五層 陽台
RPRNMLMLLHOFFHD48CA,22,6.65,梯間、機械室、水箱、電梯,鋼筋混凝土造,86年8月25日,七層,
RPRNMLMLLHOFFHD48CA,22,16.17,防空避難室，停車空間，管理員室,鋼筋混凝土造,86年8月25日,八層,
RPRNMLMLLHOFFHD48CA,22,44.74,住家用,鋼筋混凝土造,86年8月25日,七層,五層 陽台
RPRNMLMLLHOFFHD48CA,22,6.65,梯間、機械室、水箱、電梯,鋼筋混凝土造,86年8月25日,七層,
RPRNMLMLLHOFFHD48CA,22,16.17,防空避難室，停車空間，管理員室,鋼筋混凝土造,86年8月25日,八層,
RPQNMLRJMHOFFCD28CA,12,112.34,住家用,ＲＣ造,95年11月22日,十三層,三層 陽台
RPQNMLRJMHOFFCD28CA,12,15.21,共有部分,ＲＣ造,95年11月22日,十三層,
RPQNMLRJMHOFFCD28CA,12,41.68,共有部分,ＲＣ造,95年11月22日,十三層,
RPRNMLOJMHOFFCD08CA,24,124.93,住家用,鋼筋混凝土造,84年3月25日,十四層,十四層 陽台 露台 花台
RPRNMLOJMHOFFCD08CA,24,12.27,共有部分,鋼筋混凝土造,84年3月25日,十四層,
RPRNMLOJMHOFFCD08CA,24,25.63,共有部分,鋼筋混凝土造,84年3月25日,十四層,
RPRNMLOJMHOFFCD08CA,24,.08,管理員室,鋼筋混凝土造,84年3月25日,十四層,地下一層
RPXNMLQLLHOFFHD86CA,3,71.11,集合住宅,鋼筋混凝土造,105年7月27日,十五層,十五層 陽台
RPXNMLQLLHOFFHD86CA,3,68.55,停車空間、水箱、污水機房、消防機械室、機房、樓梯間、排煙室、緊急昇降機、防空避難室兼停車空間、台電配電場所、電信室、緊急發電機房、水景機房、頂蓋型廣場式開放空間、公共服務空間、門廳、環保資源室、管委會使用空間、梯廳、外廊、機械室,鋼筋混凝土造,105年7月27日,十五層,
RPUQMLSJMHOFFCD09CA,,89.63,集合住宅,鋼筋混凝土構造,107年11月14日,七層,四層 陽台
RPUQMLSJMHOFFCD09CA,,10.67,本共有部分之項目有：樓梯間。,鋼筋混凝土構造,107年11月14日,七層,
RPUQMLSJMHOFFCD09CA,,65.80,本共有部份之項目有：門廊、門廳、管理室、車道、污物處理區管委會空間、樓梯間、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,107年11月14日,七層,
RPRTMLSLLHOFFHD07CA,,158.38,廠房,鋼骨構造,107年12月14日,一層,一層
RPTTMLSLLHOFFHD27CA,,158.51,廠房,鋼骨構造,107年12月14日,一層,一層
RPXNMLKLLHOFFFD68CA,,58.13,集合住宅,鋼筋混凝土構造,107年11月27日,五層,四層 陽台
RPXNMLKLLHOFFFD68CA,,38.30,共有部分之項目有：停車空間、梯廳、一般昇降機道、門廊、設備空間、騎樓、樓梯間等７項,鋼筋混凝土構造,107年11月27日,五層,
RPOOMLKLLHOFFFD87CA,,58.13,集合住宅,鋼筋混凝土構造,107年11月27日,五層,四層 陽台
RPOOMLKLLHOFFFD87CA,,38.30,共有部分之項目有：停車空間、梯廳、一般昇降機道、門廊、設備空間、騎樓、樓梯間等７項,鋼筋混凝土構造,107年11月27日,五層,
RPQOMLKLLHOFFFD08CA,,56.61,集合住宅,鋼筋混凝土構造,107年11月27日,五層,五層 陽台
RPQOMLKLLHOFFFD08CA,,37.82,共有部分之項目有：停車空間、梯廳、一般昇降機道、門廊、設備空間、騎樓、樓梯間等７項,鋼筋混凝土構造,107年11月27日,五層,
RPPOMLKLLHOFFFD97CA,,58.13,集合住宅,鋼筋混凝土構造,107年11月27日,五層,五層 陽台
RPPOMLKLLHOFFFD97CA,,38.30,共有部分之項目有：停車空間、梯廳、一般昇降機道、門廊、設備空間、騎樓、樓梯間等７項,鋼筋混凝土構造,107年11月27日,五層,
RPUNMLKLLHOFFFD38CA,,56.61,集合住宅,鋼筋混凝土構造,107年11月27日,五層,二層 陽台
RPUNMLKLLHOFFFD38CA,,37.82,共有部分之項目有：停車空間、梯廳、一般昇降機道、門廊、設備空間、騎樓、樓梯間等７項,鋼筋混凝土構造,107年11月27日,五層,
RPVNMLKLLHOFFFD48CA,,58.13,集合住宅,鋼筋混凝土構造,107年11月27日,五層,二層 陽台
RPVNMLKLLHOFFFD48CA,,38.30,共有部分之項目有：停車空間、梯廳、一般昇降機道、門廊、設備空間、騎樓、樓梯間等７項,鋼筋混凝土構造,107年11月27日,五層,
RPSNMLLLLHOFFFD28CA,38,96.45,住家用,加強磚造,70年5月30日,二層,一層 二層 陽台
RPRNMLLLLHOFFDD97CA,,328.85,住家用,鋼筋混凝土造,107年11月22日,五層,二層 三層 四層 五層 陽台 見其他登記事項
RPQOMLSJMHOFFCD48CA,,151.26,集合住宅,鋼筋混凝土構造,107年12月5日,十五層,八層 陽台
RPQOMLSJMHOFFCD48CA,,30.62,本共有部份之項目有：樓梯間。,鋼筋混凝土構造,107年12月5日,十五層,
RPQOMLSJMHOFFCD48CA,,82.73,本共有部份之項目有：停車空間、防空避難室兼停車空間、門廊、公共服務空間、管理委員會使用空間、樓梯間、水箱。,鋼筋混凝土構造,107年12月5日,十五層,
RPVNMLMLLHOFFDD48CA,20,359.99,住商用,鋼筋混凝土造,87年9月18日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物 騎樓
RPTNMLTLLHOFFDD98CA,,186.62,住家用,鋼筋混凝土造,107年12月4日,三層,一層 二層 三層 陽台 屋頂突出物
RPQOMLTLLHOFFDD78CA,,98.35,住家用,鋼筋混凝土造,107年12月4日,三層,一層 二層 三層 陽台 屋頂突出物
RPQOMLTLLHOFFDD78CA,,98.35,住家用,鋼筋混凝土造,107年12月4日,三層,一層 二層 三層 陽台 屋頂突出物
RPWNMLTLLHOFFDD66CA,,178.43,住家用,鋼筋混凝土造,107年12月4日,三層,一層 二層 三層 陽台 屋頂突出物
RPRNMLSLLHOFFDD68CA,,161.51,集合住宅,鋼筋混凝土造,107年10月23日,三層,陽台 見其他登記事項
RPSNMLSLLHOFFDD78CA,,182.51,住家用,鋼筋混凝土造,107年10月23日,三層,陽台 騎樓 見其他登記事項
RPRNMLKMLHOFFDD97CA,25,27.18,共有部分,鋼筋混凝土造,83年8月29日,九層,
RPRNMLKMLHOFFDD97CA,25,79.06,住家用,鋼筋混凝土造,83年8月29日,九層,七層 陽台
RPSOMLTLLHOFFDD98CA,24,163.34,住家用,鋼筋混凝土造,83年11月30日,四層,一層 二層 三層 四層 陽台 平台 花台
RPPNMLTLLHOFFDD58CA,1,180.45,住商用,鋼筋混凝土造,107年3月14日,四層,一層 二層 三層 四層 騎樓
RPWNMLLLLHOFFDD48CA,25,32.99,住家用,鋼筋混凝土造,83年5月3日,六層,四層 陽台
RPWNMLLLLHOFFDD48CA,25,10.83,共有部分,鋼筋混凝土造,83年5月3日,六層,
RPTQMLSJMHOFFCD98CA,,83.76,集合住宅,鋼筋混凝土構造,107年11月14日,七層,四層 陽台 雨遮
RPTQMLSJMHOFFCD98CA,,62.07,本共有部份之項目有：門廊、門廳、管理室、車道、污物處理區管委會空間、樓梯間、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,107年11月14日,七層,
RPTQMLSJMHOFFCD98CA,,11.96,本共有部分之項目有：樓梯間。,鋼筋混凝土構造,107年11月14日,七層,
RPQOMLRLLHOFFED68CA,,187.62,Ｈ２住宅,鋼筋混凝土構造,107年12月6日,三層,一層 二層 三層 陽台 屋頂突出物
RPOPMLTJMHOFFCD48CA,,64.92,集合住宅,鋼筋混凝土構造,107年11月14日,七層,二層 陽台
RPOPMLTJMHOFFCD48CA,,56.57,本共有部份之項目有：門廊、門廳、管理室、車道、污物處理區管委會空間、樓梯間、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,107年11月14日,七層,
RPOPMLTJMHOFFCD48CA,,13.31,本共有部分之項目有：樓梯間,鋼筋混凝土構造,107年11月14日,七層,
RPRNMLLKMHOFFED08CA,1,164.19,住宅,鋼筋混凝土構造,107年1月31日,三層,一層 二層 三層 陽台
RPTOMLPLLHOFFDD68CA,,143.84,住宅,鋼筋混凝土造,107年11月19日,三層,一層 二層 三層 陽台 見其他登記事項
RPUOMLPLLHOFFDD78CA,,146.53,住宅,鋼筋混凝土造,107年11月19日,三層,一層 二層 三層 陽台 見其他登記事項
RPXNMLPLLHOFFDD98CA,,155.13,住宅,鋼筋混凝土造,107年11月19日,三層,一層 二層 三層 陽台 見其他登記事項
RPVOMLPLLHOFFDD88CA,,144.22,住宅,鋼筋混凝土造,107年11月19日,三層,一層 二層 三層 陽台 見其他登記事項
RPOOMLPLLHOFFDD18CA,,155.13,住宅,鋼筋混凝土造,107年11月19日,三層,一層 二層 三層 陽台 見其他登記事項
RPUNMLQLLHOFFED88CA,,199.10,Ｈ２住宅,鋼筋混凝土構造,107年12月6日,三層,一層 二層 三層 陽台 屋頂突出物
RPROMLPLLHOFFDD48CA,,70.70,住宅,鋼筋混凝土造,107年11月19日,三層,一層 二層 三層 陽台 見其他登記事項
RPROMLPLLHOFFDD48CA,,70.70,住宅,鋼筋混凝土造,107年11月19日,三層,一層 二層 三層 陽台 見其他登記事項
RPQOMLPLLHOFFDD38CA,,143.84,住宅,鋼筋混凝土造,107年11月19日,三層,一層 二層 三層 陽台 見其他登記事項
RPOOMLQLLHOFFED38CA,,204.24,Ｈ２住宅,鋼筋混凝土構造,107年12月6日,三層,一層 二層 三層 陽台 屋頂突出物
RPWNMLQLLHOFFED09CA,,199.43,Ｈ２住宅,鋼筋混凝土構造,107年12月6日,三層,一層 二層 三層 陽台 屋頂突出物
RPXNMLQLLHOFFED56CA,,196.50,Ｈ２住宅,鋼筋混凝土構造,107年12月6日,三層,一層 二層 三層 陽台 屋頂突出物
