編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLMLKHOFFBP98CA,,511.99,店舖、住宅、騎樓,鋼筋混凝土造,107年6月1日,五層,一層 二層 三層 四層 五層 陽台 騎樓
RPQNMLTKKHOFFAP76CA,25,137.65,住商用,鋼筋混凝土造,83年7月10日,五層,一層 二層 陽台 騎樓
RPQNMLTKKHOFFAP76CA,25,14.74,共有部份,鋼筋混凝土造,83年7月10日,五層,
RPSNMLTKKHOFFAP96CA,20,66.92,住家用,鋼筋混凝土造,87年12月20日,五層,四層 陽台
RPSNMLTKKHOFFAP96CA,20,8.81,共有部份,鋼筋混凝土造,87年12月20日,五層,
RPSNMLTKKHOFFAP96CA,20,6.32,共有部份,鋼筋混凝土造,87年12月20日,五層,
RPSNMLTKKHOFFAP96CA,20,19.79,共有部份,鋼筋混凝土造,87年12月20日,五層,
RPUNMLTKKHOFFAP17CA,24,88.75,住家用,鋼筋混凝土造,83年11月15日,十二層,七層 陽台 花台
RPUNMLTKKHOFFAP17CA,24,13.21,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPUNMLTKKHOFFAP17CA,24,16.07,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPPNMLKLKHOFFCP68CA,38,126.66,住商用,加強磚造,69年7月30日,二層,一層 二層 騎樓
RPRNMLNLKHOFFEP76CA,13,379.38,自用農舍、梯間,Ａ：加強磚造、Ｂ：鋼鐵有壁造,95年1月24日,二層,一層 二層 屋頂突出物
RPTNMLQJLHOFFCP96CA,,205.96,店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,107年10月5日,三層,二層 三層 陽台 見其他登記事項
RPQNMLNKLHOFFCP09CA,,204.82,店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,107年10月5日,三層,二層 三層 陽台 見其他登記事項
RPRNMLSJLHOFFCP96CA,,193.67,店舖、住宅、停車空間、樓梯間,鋼筋混凝土造,107年10月5日,三層,二層 三層 陽台 見其他登記事項
RPPNMLQLKHOFFAP56DA,13,3453.66,廠房、辦公室,鋼骨ＲＣ造,94年12月8日,三層,一層 二層 三層
RPPNMLQLKHOFFAP56DA,13,431.39,宿舍,鋼骨ＲＣ造,95年1月12日,三層,一層 二層 三層
RPPNMLPJLHOFFCP09CA,25,136.38,住家用,鋼筋混凝土造,82年8月20日,三層,一層 二層 三層
RPTNMLKLKHOFFDP56CA,20,174.39,住家用,鋼筋混凝土造,87年9月16日,三層,一層 二層 三層 陽台 電梯樓梯間
RPSNMLLKLHOFFDP56CA,19,104.92,住家用,鋼筋混凝土造,88年7月30日,十四層,七層 陽台
RPSNMLLKLHOFFDP56CA,19,34.12,共有部份,鋼筋混凝土造,88年7月30日,十四層,
RPSNMLLKLHOFFDP56CA,19,2.01,住家用,鋼筋混凝土造,88年7月30日,十四層,
RPSNMLLKLHOFFDP56CA,19,15.32,樓，電梯間（共同使用）,鋼筋混凝土造,88年7月30日,十四層,
RPOOMLQLKHOFFDP86DA,25,21.04,住家用,鋼筋混凝土造,83年6月14日,九層,六層 陽台
RPOOMLQLKHOFFDP86DA,25,8.10,共有部份,鋼筋混凝土造,83年6月14日,九層,
RPXNMLSKKHOFFAP37CA,45,86.68,住家用,加強磚造,63年6月17日,二層,一層 二層
RPQNMLKLKHOFFAP78EA,24,81.33,住家用,鋼筋混凝土造,83年8月18日,七層,六層 陽台
RPQNMLKLKHOFFAP78EA,24,26.58,共有部份,鋼筋混凝土造,83年8月18日,七層,
RPVNMLLLKHOFFAP56CA,14,161.11,住家用,鋼筋混凝土造,94年6月7日,三層,一層 二層 三層 陽台 平台 雨遮
