編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLPJLHOFFAM58CA,25,69.95,住家用,鋼筋混凝土造,83年2月17日,五層,二層 陽台 花台
RPPNMLPJLHOFFAM58CA,25,1.71,住家用,鋼筋混凝土造,83年2月17日,五層,
RPRNMLTKKHOFFDM86CA,46,148.95,住家用,鋼筋混凝土加強磚造,62年7月1日,二層,一層 二層 騎樓
RPSNMLPKKHOFFAM88CA,24,168.48,人行道、住宅,鋼筋混凝土造,84年4月14日,三層,一層 二層 三層 屋頂突出物 騎樓
RPVNMLPKLHOFFDM96CA,2,265.50,住宅、樓梯間,鋼筋混凝土造,106年5月3日,三層,一層 二層 三層 陽台 見其他登記事項
RPTNMLRJLHOFFAM56CA,,180.39,住宅、樓梯間,鋼筋混凝土造,107年10月11日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLPJLHOFFAM68CA,25,147.50,住宅、停車空間,鋼筋混凝土造,83年3月10日,四層,一層 二層 三層 四層
RPSNMLSKKHOFFAM56CA,24,172.25,住家用,鋼筋混凝土造,84年2月28日,四層,一層 二層 三層 四層 屋頂突出物
RPPNMLSKKHOFFAM88CA,24,102.19,住家用,鋼筋混凝土造,83年11月9日,十六層,三層 陽台
RPPNMLSKKHOFFAM88CA,24,22.52,騎樓、人行道、梯間、避難室、機械室,鋼筋混凝土造,83年11月9日,十六層,
RPQPMLTKKHOFFBM76CA,39,132.24,住商用,鋼筋混凝土造,69年4月7日,三層,一層 二層 三層 騎樓
RPTNMLPKKHOFFBM09CA,44,99.01,住商用,鋼筋混凝土加強磚造,63年11月21日,二層,一層 二層 騎樓
RPPNMLRJLHOFFBM88CA,12,153.69,住家用,鋼筋混凝土造,95年11月29日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLPJLHOFFBM78CA,23,101.68,住家用,鋼筋混凝土造,84年9月27日,十二層,十二層 陽台 花台
RPQNMLPJLHOFFBM78CA,23,28.68,停車空間、防空避難室、水塔、管理室、梯間、走道、機械室、門廳,鋼筋混凝土造,84年9月27日,十二層,
RPPNMLSKKHOFFCM09CA,45,75.40,住家用,鋼筋混凝土加強磚造,62年11月20日,一層,一層 騎樓
RPQNMLNKLHOFFDM88CA,,205.25,住家用,鋼筋混凝土造,107年11月16日,三層,一層 二層 三層 陽台
