鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,建物,臺北市中正區和平西路一段30號9樓,0.0,商,,,1080115,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,144.07,0,0,0,無,有,無,48000,333,,0.0,0,,RPXNMLSKKHOFFAA68CC
文山區,建物,臺北市文山區政大一街２７９號二樓,0.0,住,,,1080127,土地0建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1031113,158.54000000000002,3,2,2,有,有,有,33000,208,坡道平面,33.09,0,,RPOOMLSKKHOFFAA87CC
文山區,建物,臺北市文山區福興路７８巷２０弄１８號,0.0,其他,,,1080131,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,81.48,3,2,2,有,無,有,27000,331,,0.0,0,,RPUNMLTKKHOFFAA48CC
北投區,建物,臺北市北投區石牌路二段３４８巷１９號二樓之２,0.0,住,,,1080130,土地0建物1車位1,二層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821231,50.05,1,0,1,有,有,有,14500,290,升降機械,20.53,0,,RPPNMLTKKHOFFEA38CC
士林區,建物,臺北市士林區大南路３４５號六樓,0.0,工,,,1080130,土地0建物1車位1,六層,15,廠辦,見其他登記事項,鋼筋混凝土造,0961108,161.6,3,2,2,有,有,有,35000,217,坡道平面,25.23,0,,RPPOMLTKKHOFFEA48CC
士林區,建物,臺北市士林區仰德大道一段９１巷３６弄１號,0.0,住,,,1080216,土地0建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,1050913,425.41,4,4,6,有,無,無,180000,423,,0.0,0,含管理費、稅金或水電等費用。；含稅金,RPXOMLTKKHOFFEA66CC
士林區,建物,臺北市士林區仰德大道一段９１巷３６弄３號,0.0,住,,,1080216,土地0建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,1060117,447.17,4,4,6,有,無,無,180000,403,,0.0,0,含管理費、稅金或水電等費用。；含稅金。,RPQPMLTKKHOFFEA68CC
士林區,建物,臺北市士林區天母東路30號3樓,0.0,商,,,1080131,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0740515,182.5,4,2,2,有,無,有,60000,329,,0.0,0,,RPRPMLTKKHOFFEA78CC
士林區,建物,臺北市士林區芝玉路一段222號14樓之5,0.0,住,,,1080131,土地0建物1車位0,十四層,18,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0971112,165.42,3,2,2,有,有,有,72000,435,,0.0,0,,RPTPMLTKKHOFFEA98CC
大安區,房地(土地+建物),臺北市大安區仁愛路三段28號7樓之3,11.22,住,,,1080103,土地2建物1車位0,七層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,59.68,0,0,1,有,無,無,30000,503,,0.0,0,,RPROMLTKKHOFFFA78CC
大安區,建物,臺北市大安區光復南路636號13樓,0.0,商,,,1080108,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970627,102.32,2,1,1,有,有,有,46000,450,,0.0,0,,RPSOMLTKKHOFFFA88CC
大安區,建物,臺北市大安區樂業街101巷1號5樓,0.0,,,,1080216,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,,94.09,3,2,1,有,無,有,24000,255,,0.0,0,,RPTOMLTKKHOFFFA98CC
大安區,建物,臺北市大安區四維路198巷30弄10號2樓之4,0.0,住,,,1080114,土地0建物1車位0,二層,19,辦公商業大樓,商業用,鋼筋混凝土造,0740522,50.34,0,0,0,無,有,無,20000,397,,0.0,0,,RPUOMLTKKHOFFFA09CC
大安區,建物,臺北市大安區敦化南路一段190巷12號,0.0,商,,,1080114,土地0建物1車位0,一層,8,店面(店鋪),住家用,鋼筋混凝土造,0571015,183.63,0,0,0,無,有,無,303000,1650,,0.0,0,含增建或未登記建物。；租賃範圍不含車位，且無法區分車位面積。；,RPWOMLTKKHOFFFA66CC
大安區,建物,臺北市大安區基隆路二段112號3樓,0.0,商,,,1080102,土地0建物1車位2,三層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0790901,290.66,0,0,0,無,無,有,91000,313,坡道平面,0.0,0,,RPXOMLTKKHOFFFA76CC
信義區,建物,臺北市信義區忠孝東路五段1之10號,0.0,住,,,1080124,土地0建物1車位0,一層,14,店面(店鋪),商業用,鋼筋混凝土造,0730116,106.85000000000001,0,0,0,無,有,無,220000,2059,,0.0,0,,RPPNMLTKKHOFFDA28CC
松山區,建物,臺北市松山區長安東路二段215號7樓之1,15.94,商,,,1080110,土地0建物0車位0,七層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,0670817,36.37,1,1,1,有,有,有,20000,550,,0.0,0,含管理費、稅金或水電等費用。；,RPQNMLTKKHOFFDA38CC
信義區,建物,臺北市信義區忠孝東路五段345巷1號1樓,4.62,商,,,1080108,土地0建物1車位0,一層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0961115,95.63,0,0,0,無,無,無,68000,711,,0.0,0,,RPSNMLTKKHOFFDA58CC
松山區,建物,臺北市松山區三民路80巷4之2號1樓,0.0,住,,,1080114,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0810413,114.91,3,2,2,有,無,有,50000,435,,0.0,0,,RPVNMLTKKHOFFDA88CC
松山區,房地(土地+建物),臺北市松山區民生東路五段137巷7號,504.0,住,,,1080101,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0701027,232.93,0,0,0,無,無,無,50000,215,,0.0,0,,RPSOMLTKKHOFFDA68CC
松山區,建物,臺北市松山區新東街６６巷６號四樓,0.0,住,,,1080131,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,90.24,3,2,1,有,無,有,18000,199,,0.0,0,,RPOPMLTKKHOFFDA38CC
松山區,建物,臺北市松山區民權東路三段106巷3弄65號5樓,0.0,住,,,1080131,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740301,124.06,3,2,2,有,有,有,56000,451,,0.0,0,,RPSPMLTKKHOFFDA78CC
信義區,建物,臺北市信義區信義路五段150巷10號3樓之1,0.0,住,,,1080131,土地0建物1車位0,三層,30,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0861024,131.67,2,2,2,有,有,有,55000,418,,0.0,0,,RPTPMLTKKHOFFDA88CC
