鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
柳營區,土地,柳營段溫厝小段53-7地號,4.0,,特定農業區,甲種建築用地,1080410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80000,20000,,0.0,0,,RPSNMLSKMHOFFDD78CA,0.0,0.0,0.0,,
鹽水區,房地(土地+建物),臺南市鹽水區新中路１０２巷２６號,85.0,住,,,1080301,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,0811117,147.28,4,2,2,有,無,3300000,22406,,0.0,0,,RPTNMLSKMHOFFDD88CA,135.21,0.0,12.07,,
新營區,土地,茄苳段1692地號,3050.0,農,,,1080321,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13300000,4361,,0.0,0,,RPQNMLMLMHOFFDD08CA,0.0,0.0,0.0,,
新營區,房地(土地+建物),臺南市新營區民治路２７５號十四樓,17.3,住,,,1080321,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0830119,137.9,3,2,2,有,無,3000000,21755,,0.0,0,,RPQNMLOLMHOFFDD28CA,102.31,0.0,9.28,,
柳營區,房地(土地+建物),臺南市柳營區保生街１２２號,84.25,住,,,1080221,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,1080111,183.98,4,3,3,有,無,7950000,43211,,0.0,0,,RPUNMLSJNHOFFDD98CA,164.2,0.0,19.78,,
柳營區,房地(土地+建物),臺南市柳營區保生街１２０號,86.08,住,,,1080221,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,1080111,169.47,4,2,5,有,無,7350000,43371,,0.0,0,,RPVNMLSJNHOFFDD09CA,159.18,0.0,10.29,,
新營區,房地(土地+建物),臺南市新營區茄苳?８３之１９號,78.0,住,,,1080328,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,1071016,153.96,3,1,2,有,無,6860000,44557,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPWNMLMLNHOFFDD78CA,138.36,0.0,15.6,,
白河區,土地,崁子頭段388地號,124.88,,鄉村區,乙種建築用地,1080328,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,480000,3844,,0.0,0,,RPWNMLNLMHOFFED88CA,0.0,0.0,0.0,,
後壁區,土地,白沙屯段2869地號,1126.0,,特定農業區,農牧用地,1080410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,311,,0.0,0,,RPPNMLTKMHOFFED68CA,0.0,0.0,0.0,,
後壁區,土地,長短樹段3256地號,2200.0,,特定農業區,農牧用地,1080325,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,1000,,0.0,0,,RPPNMLSKMHOFFED58CA,0.0,0.0,0.0,,
東山區,土地,東山段2709地號,3400.0,,特定農業區,農牧用地,1080315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5610000,1650,,0.0,0,,RPQNMLSKMHOFFED68CA,0.0,0.0,0.0,,
白河區,土地,糞箕湖段糞箕湖小段371-4地號,106.67,,一般農業區,交通用地,1080410,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,171666,1609,,0.0,0,二等親交易，道路用地,RPRNMLSKMHOFFED78CA,0.0,0.0,0.0,,
後壁區,房地(土地+建物),臺南市後壁區竹新里90之20號,4000.0,,特定農業區,農牧用地,1080304,土地2建物1車位0,一層,一層,其他,見其他登記事項,木造,0840310,2415.84,0,0,0,有,無,11642098,4819,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLLLMHOFFED08CA,2415.84,0.0,0.0,,
東區,房地(土地+建物)+車位,臺南市東區崇賢三路６號十四樓之１,43.86,住,,,1051102,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071205,246.64999999999998,3,2,2,有,有,16386000,69737,坡道平面,26.02,1000000,,RPUPMLTLMHOFFCD66CA,134.72,0.0,16.54,,
東區,房地(土地+建物)+車位,臺南市東區崇賢三路２號十四樓之５,36.99,住,,,1050226,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071205,208.21,3,2,2,有,有,12467000,62940,坡道平面,26.02,1000000,,RPVPMLTLMHOFFCD76CA,109.59,0.0,15.39,,
東區,房地(土地+建物)+車位,臺南市東區崇賢三路２號六樓之５,38.9,住,,,1041004,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071205,226.17000000000002,3,2,2,有,有,12515000,59910,坡道平面,43.98,1600000,,RPQPMLTLMHOFFCD88CA,109.59,0.0,15.39,,
東區,房地(土地+建物)+車位,臺南市東區崇賢三路２號三樓之２,51.49,住,,,1060416,土地1建物1車位3,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071205,298.7,3,2,2,有,有,17301000,64816,坡道平面,78.06,3000000,,RPSPMLTLMHOFFCD09CA,134.72,0.0,16.54,,
東區,房地(土地+建物)+車位,臺南市東區崇賢三路６號十樓之５,40.81,住,,,1071019,土地1建物1車位2,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071205,234.91,3,2,2,有,有,15000000,63854,坡道平面,52.04,0,,RPRPMLKMMHOFFCD18CA,112.63,0.0,12.75,,
東區,房地(土地+建物)+車位,臺南市東區崇賢三路８號八樓之５,40.81,住,,,1080101,土地1建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071205,234.23000000000002,3,2,2,有,有,14800000,63186,坡道平面,52.04,0,,RPWPMLKMMHOFFCD68CA,109.59,0.0,15.39,,
南區,土地,正義段415地號,40.12,其他,,,1080315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,411886,10266,,0.0,0,包含公共設施保留地之交易。；,RPUOMLLJNHOFFCD28CA,0.0,0.0,0.0,,
東區,房地(土地+建物),臺南市東區崇善東路１１號八樓,12.99,住,,,1080302,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0890202,72.22,3,2,1,有,有,3420000,47355,,0.0,0,,RPXOMLLJNHOFFCD58CA,49.94,0.0,7.49,,
東區,房地(土地+建物),臺南市東區東門路一段７８號四樓,36.11,商,,,1080328,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0690505,88.18,3,2,2,有,無,3100000,35155,,0.0,0,,RPUNMLQJNHOFFCD68CA,76.67,0.0,0.0,,
