編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLQKKHOFFFK56CA,1,76.87,集合住宅,鋼筋混凝土造,107年6月29日,十五層,三層 陽台
RPRNMLQKKHOFFFK56CA,1,52.76,停車空間、防空避難室兼停車空間、供管委會使用空間、樓電梯間、車道,鋼筋混凝土造,107年6月29日,十五層,
RPRNMLQKKHOFFFK56CA,1,18.70,電梯機械室、樓電梯間、水錶區、消防水箱、水箱,鋼筋混凝土造,107年6月29日,十五層,
RPTNMLQKKHOFFFK76CA,1,87.86,集合住宅,鋼筋混凝土造,107年6月29日,十五層,十五層 陽台 雨遮
RPTNMLQKKHOFFFK76CA,1,20.92,電梯機械室、樓電梯間、水錶區、消防水箱、水箱,鋼筋混凝土造,107年6月29日,十五層,
RPTNMLQKKHOFFFK76CA,1,54.57,停車空間、防空避難室兼停車空間、供管委會使用空間、樓電梯間、車道,鋼筋混凝土造,107年6月29日,十五層,
RPUNMLQKKHOFFFK86CA,1,62.89,集合住宅,鋼筋混凝土造,107年6月29日,十四層,十四層 陽台 雨遮
RPUNMLQKKHOFFFK86CA,1,49.50,停車空間、防空避難室兼停車空間、供管委會使用空間、樓電梯間、車道,鋼筋混凝土造,107年6月29日,十五層,
RPUNMLQKKHOFFFK86CA,1,14.99,電梯機械室、樓電梯間、水錶區、消防水箱、水箱,鋼筋混凝土造,107年6月29日,十五層,
RPPNMLPKKHOFFBK48CA,11,985.42,廠房,鋼骨造，ＲＣ造,97年3月28日,二層,一層 二層
RPQNMLOKKHOFFBK48CA,25,91.23,住商用,鋼筋混凝土造,83年2月23日,七層,四層 陽台
RPQNMLOKKHOFFBK48CA,25,18.19,防空避難室，停車場，梯間機械室，水箱,鋼筋混凝土造,83年2月23日,七層,
RPQNMLOKKHOFFBK48CA,25,10.44,樓梯，電梯間,鋼筋混凝土造,83年2月23日,七層,
RPQNMLQLKHOFFEK09CA,39,121.26,住家用,加強磚造,69年7月1日,二層,一層 二層 騎樓
RPSOMLPLKHOFFFK76CA,13,.20,住家用,ＲＣ造,95年5月3日,十四層,一層
RPSOMLPLKHOFFFK76CA,13,.03,共有部分,ＲＣ造,95年5月3日,十四層,
RPSOMLPLKHOFFFK76CA,13,20.05,共有部分,ＲＣ造,95年5月3日,十四層,
RPPNMLPKKHOFFDK68CA,1,206.29,住家用,鋼筋混凝土造,107年5月23日,三層,一層 二層 三層 陽台 見其他登記事項
RPVNMLPKKHOFFDK66CA,2,132.29,見其他登記事項,鋼骨鋼筋混凝土造,106年2月13日,二十層,十五層
RPVNMLPKKHOFFDK66CA,2,78.58,共有部分,鋼骨鋼筋混凝土造,106年2月13日,二十層,
RPVNMLPKKHOFFDK66CA,2,28.85,共有部分,鋼骨鋼筋混凝土造,106年2月13日,二十層,
RPPNMLTKKHOFFDK09CA,36,129.48,住家用,鋼筋混凝土造,72年5月20日,二層,一層 二層 騎樓
RPXOMLTKKHOFFFK57CA,,89.82,住家用,鋼筋混凝土造,107年12月6日,九層,三層 陽台
RPXOMLTKKHOFFFK57CA,,54.98,停車空間、機房、水箱、樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPXOMLTKKHOFFFK57CA,,12.07,樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPSNMLTKKHOFFDK76CA,15,15.79,住家用,鋼筋混凝土造,93年5月13日,三層,三層 陽台 雨遮
RPSNMLTKKHOFFDK76CA,15,5.02,樓梯間、走廊,鋼筋混凝土造,93年5月13日,三層,
RPSNMLPLKHOFFBK88CA,35,145.48,住家用,鋼筋混凝土造,73年1月20日,二層,一層 二層 屋頂突出物 騎樓
RPVNMLLLKHOFFDK98CA,10,233.05,見其他登記事項,鋼筋混凝土造,97年11月20日,四層,一層 二層 三層 四層
RPUNMLLJLHOFFBK58CA,,231.20,住家用,鋼筋混凝土造,107年9月6日,三層,一層 二層 三層 陽台
RPWOMLTKKHOFFFK47CA,,76.78,住家用,鋼筋混凝土造,107年12月6日,九層,五層 陽台
RPWOMLTKKHOFFFK47CA,,51.54,停車空間、機房、水箱、樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPWOMLTKKHOFFFK47CA,,12.83,樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPSOMLTKKHOFFFK07CA,,76.78,住家用,鋼筋混凝土造,107年12月6日,九層,四層 陽台
RPSOMLTKKHOFFFK07CA,,51.54,停車空間、機房、水箱、樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPSOMLTKKHOFFFK07CA,,12.83,樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPTOMLTKKHOFFFK17CA,,98.34,住家用,鋼筋混凝土造,107年12月6日,九層,九層 陽台
RPTOMLTKKHOFFFK17CA,,57.04,停車空間、機房、水箱、樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPTOMLTKKHOFFFK17CA,,13.22,樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPUOMLTKKHOFFFK27CA,,76.78,住家用,鋼筋混凝土造,107年12月6日,九層,三層 陽台
RPVOMLTKKHOFFFK37CA,,98.34,住家用,鋼筋混凝土造,107年12月6日,九層,九層 陽台
RPUOMLTKKHOFFFK27CA,,51.54,停車空間、機房、水箱、樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPUOMLTKKHOFFFK27CA,,13.03,樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPVOMLTKKHOFFFK37CA,,57.04,停車空間、機房、水箱、樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPVOMLTKKHOFFFK37CA,,13.22,樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPPOMLRJLHOFFBK78CA,1,73.48,住家用,鋼筋混凝土造,107年1月24日,五層,二層 陽台
RPPOMLRJLHOFFBK78CA,1,33.15,本共有部分之項目有樓梯間，機械室及停車空間（室內５輛）。,鋼筋混凝土造,107年1月24日,五層,
RPSNMLOJLHOFFFK09CA,33,142.65,住家用,加強磚造,75年6月10日,二層,一層 二層 陽台 電梯樓梯間
RPOPMLPKKHOFFFK98CA,2,205.92,住家用,鋼筋混凝土造,106年5月11日,四層,一層 二層 三層 四層 陽台
RPQNMLTKKHOFFFK76CA,,98.34,住家用,鋼筋混凝土造,107年12月6日,九層,八層 陽台
RPQNMLTKKHOFFFK76CA,,57.04,停車空間、機房、水箱、樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPQNMLTKKHOFFFK76CA,,13.22,樓梯間,鋼筋混凝土造,107年12月6日,九層,
RPRNMLKLKHOFFCK38CA,,125.86,住家用,鋼筋混凝土造,,二層,一層 二層
RPPNMLPJLHOFFCK58CA,2,201.47,住宅、停車空間,鋼筋混凝土造,106年5月26日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPXNMLSKLHOFFBK07CA,,54.04,住家用,鋼筋混凝土造,107年12月7日,十一層,三層 陽台
RPXNMLSKLHOFFBK07CA,,54.04,住家用,鋼筋混凝土造,107年12月7日,十一層,三層 陽台
RPXNMLSKLHOFFBK07CA,,44.03,本共有部分之項目有防空避難室、管委會空間、梯間、樓梯間、水箱、電梯機房及停車空間（室內６６輛）等７項。,鋼筋混凝土造,107年12月7日,十一層,
RPXNMLSKLHOFFBK07CA,,44.03,本共有部分之項目有防空避難室、管委會空間、梯間、樓梯間、水箱、電梯機房及停車空間（室內６６輛）等７項。,鋼筋混凝土造,107年12月7日,十一層,
RPPOMLSKLHOFFBK98CA,24,202.23,住家用,鋼筋混凝土造,83年11月18日,二層,一層 二層 陽台 平台 屋頂突出物 夾層 地下層
RPPOMLSKLHOFFBK98CA,24,35.08,貯藏室，停車空間,鋼筋混凝土造,83年11月18日,,
RPUNMLPLKHOFFFK86CA,24,72.59,住家用,鋼筋混凝土造,84年1月4日,十一層,九層 陽台 花台
RPUNMLPLKHOFFFK86CA,24,1.12,共有部分,鋼筋混凝土造,84年1月4日,十一層,
RPUNMLPLKHOFFFK86CA,24,13.80,共有部分,鋼筋混凝土造,84年1月4日,十一層,
RPVNMLPLKHOFFFK96CA,24,97.35,住家用,鋼筋混凝土造,84年1月4日,十一層,七層 陽台 花台
RPVNMLPLKHOFFFK96CA,24,1.51,共有部分,鋼筋混凝土造,84年1月4日,十一層,
RPVNMLPLKHOFFFK96CA,24,18.52,共有部分,鋼筋混凝土造,84年1月4日,十一層,
RPPNMLKLKHOFFFK48CA,8,94.75,商業用,ＲＣ造,99年9月9日,五層,一層 平台
RPPNMLKLKHOFFFK48CA,8,22.07,停車空間、樓梯間、水箱、機房,ＲＣ造,99年9月9日,五層,
RPQOMLPLKHOFFBK78CA,,104.22,住家用,鋼筋混凝土造,107年10月3日,五層,二層 陽台
RPQOMLPLKHOFFBK78CA,,35.83,本共有部分之項目有停車空間（室內１１輛）及樓梯間等２項。,鋼筋混凝土造,107年10月3日,五層,
RPSNMLRJLHOFFFK76CA,25,75.10,住家用,鋼筋混凝土造,82年10月16日,六層,四層 陽台
RPSNMLRJLHOFFFK76CA,25,13.75,樓，電梯,鋼筋混凝土造,82年10月16日,六層,
RPSNMLRJLHOFFFK76CA,25,20.51,防空避難室，停車空間,鋼筋混凝土造,82年10月16日,六層,
RPSNMLRJLHOFFBK98CA,45,145.81,住家用,加強磚造,63年7月10日,,一層 二層 騎樓
RPQNMLMKLHOFFBK38CA,,266.03,住商用,鋼筋混凝土造,107年11月30日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓
RPRNMLMKLHOFFBK48CA,,108.09,住家用,鋼筋混凝土造,107年12月7日,十一層,八層 陽台
