編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSQMLLLKHOFFBH48CA,8,19.73,梯廳、集合住宅（附屬梯間、水箱）、集合住宅（附屬機械室、水箱）,鋼筋混凝土造,100年3月30日,十二層,
RPPOMLPKKHOFFAH18CA,1,106.42,住家用,鋼筋混凝土造,106年7月13日,十四層,五層 陽台
RPPOMLPKKHOFFAH18CA,1,124.45,本共有部分之項目有：集合住宅（附屬防空避難室兼停車空間、停車空間、公共服務空間、梯間、機房）等項。,鋼筋混凝土造,106年7月13日,十四層,
RPSPMLNKLHOFFAH48CA,13,110.69,住家用,鋼筋混凝土造,94年8月19日,十層,九層 陽台 雨遮
RPSPMLNKLHOFFAH48CA,13,63.49,共有部份,鋼筋混凝土造,94年8月19日,十層,
RPVQMLOJLHOFFAH88CA,24,47.92,住家用,鋼筋混凝土造,84年1月20日,十六層,二層 陽台 見其他登記事項
RPVQMLOJLHOFFAH88CA,24,6.56,共有部份,鋼筋混凝土造,84年1月20日,十六層,
RPVQMLOJLHOFFAH88CA,24,47.92,住家用,鋼筋混凝土造,84年1月20日,十六層,二層 陽台 見其他登記事項
RPVQMLOJLHOFFAH88CA,24,10.50,共有部份,鋼筋混凝土造,84年1月20日,十六層,
RPVQMLOJLHOFFAH88CA,24,6.56,共有部份,鋼筋混凝土造,84年1月20日,十六層,
RPVQMLOJLHOFFAH88CA,24,10.50,共有部份,鋼筋混凝土造,84年1月20日,十六層,
RPRNMLTKKHOFFAH68CA,27,72.37,辦公室,鋼筋混凝土造,81年4月15日,九層,七層 陽台
RPRNMLTKKHOFFAH68CA,27,27.72,共有部份,鋼筋混凝土造,81年4月15日,九層,
RPRNMLTKKHOFFAH68CA,27,15.65,共有部份,鋼筋混凝土造,81年4月15日,九層,
RPRNMLNKLHOFFAH18CA,21,.09,社區管理員辦公室,鋼筋混凝土造,87年3月4日,十二層,一層
RPRNMLNKLHOFFAH18CA,21,.01,共有部份,鋼筋混凝土造,87年3月4日,十三層,
RPRNMLNKLHOFFAH18CA,21,1.48,共有部份,鋼筋混凝土造,87年3月4日,十三層,
RPRNMLNKLHOFFAH18CA,21,105.35,住家用,鋼筋混凝土造,87年3月4日,十三層,四層 陽台
RPRNMLNKLHOFFAH18CA,21,8.97,共有部份,鋼筋混凝土造,87年3月4日,十三層,
RPRNMLNKLHOFFAH18CA,21,14.37,共有部份,鋼筋混凝土造,87年3月4日,十三層,
RPRNMLNKLHOFFAH18CA,21,2.34,共有部份,鋼筋混凝土造,87年3月4日,十三層,
RPRNMLNKLHOFFAH18CA,21,14.13,共有部份,鋼筋混凝土造,87年3月4日,十三層,
RPOQMLSJLHOFFAH58CA,2,90.59,住家用,鋼筋混凝土造,105年11月23日,二十一層,十四層 陽台 雨遮
RPOQMLSJLHOFFAH58CA,2,29.61,本共有部分之項目有附屬（樓梯間、機械室、水箱）等３項。,鋼筋混凝土造,105年11月23日,二十一層,
RPOQMLSJLHOFFAH58CA,2,61.29,本共有部分之項目有附屬（停車空間、防空避難室兼停車空間、社區大廳、管委會使用空間）等４項。,鋼筋混凝土造,105年11月23日,二十一層,
